,Ticker,Year,Total Post in a Financial Year,Total post related to earnings,Criticism Comments,Criticism Words,Total no. of words
0,CSL,2010-06-30,2071,357,226,1104,18995
1,CSL,2011-06-30,287,87,52,200,3656
2,CSL,2012-06-30,174,108,82,266,4111
3,CSL,2013-06-30,271,114,78,203,3528
4,CSL,2014-06-30,233,167,131,796,13368
5,CSL,2015-06-30,509,352,270,1590,24460
6,CSL,2016-06-30,930,442,324,1319,19987
7,CSL,2017-06-30,1190,365,273,1388,25091
8,CSL,2018-06-30,908,682,480,2373,39367
9,CSL,2019-06-30,928,463,314,1599,25466
