,Ticker,Year,Total Post in a Financial Year,Total post related to earnings,Criticism Comments,Criticism Words,Total no. of words,Sentiment,Abnormal Discussions,Total number of negative words,Total number of positive words
0,WES,2010-06-30,597,,0,,9,0.0,0.023809523809523808,0,0
1,WES,2011-06-30,371,,2,,73,0.0,0.09375,5,5
2,WES,2012-06-30,196,,2,,30,0.0,0.06666666666666667,2,2
3,WES,2013-06-30,278,,1,,157,0.0,0.025,14,14
4,WES,2014-06-30,278,,0,,30,0.0,0.029850746268656716,0,0
5,WES,2015-06-30,380,,4,,183,0.2,0.125,13,13
6,WES,2016-06-30,534,,0,,12,0.0,0.009009009009009009,0,0
7,WES,2017-06-30,534,,2,,574,0.0,0.017699115044247787,33,33
8,WES,2018-06-30,720,,3,,509,0.6666666666666666,0.01775147928994083,25,25
9,WES,2019-06-30,785,,0,,0,0.0,0.0,0,0
